,imageName,imageNumber,symmetrical,symResponse,symResponseBinom,symResponseCorrect,solveSymRT,symYesNoRT,setSize,setNumber,trialPerSet,redSquarePos,redSquareNumber,squareRecall,squareCorrectCount,percentCorrectSym,totalSymErrorsInSet
1,/Users/shlab/Documents/GitHub/rcs/task/wmTask/symspan/symBitmaps/symm6.bmp,6,1.0,Yes,1,1,1.7030561989959097,1.1365391309955157,3,0,0,"[-184.32, -184.32000000000002]","[12, 7, 3]",,,,
2,/Users/shlab/Documents/GitHub/rcs/task/wmTask/symspan/symBitmaps/symm36.bmp,36,0.0,No,0,1,1.103188470005989,1.0866430809983285,3,0,1,"[184.32, 61.44]","[12, 7, 3]",,,,
3,/Users/shlab/Documents/GitHub/rcs/task/wmTask/symspan/symBitmaps/symm7.bmp,7,1.0,No,0,0,1.1698994230100652,1.6363596259907354,3,0,2,"[184.32, 184.32000000000002]","[12, 7, 3]","['14', '9', '3']",1,67.0,1.0
4,/Users/shlab/Documents/GitHub/rcs/task/wmTask/symspan/symBitmaps/symm26.bmp,26,0.0,No,0,1,1.2364785350073362,1.2699088619992835,4,1,0,"[-184.32, -184.32000000000002]","[12, 1, 15, 10]",,,,
5,/Users/shlab/Documents/GitHub/rcs/task/wmTask/symspan/symBitmaps/symm16.bmp,16,1.0,Yes,1,1,1.036881236010231,1.703063776003546,4,1,1,"[-61.44, 184.32000000000002]","[12, 1, 15, 10]",,,,
6,/Users/shlab/Documents/GitHub/rcs/task/wmTask/symspan/symBitmaps/symm21.bmp,21,1.0,Yes,1,1,1.0701622740016319,0.9200860410055611,4,1,2,"[184.32, -184.32000000000002]","[12, 1, 15, 10]",,,,
7,/Users/shlab/Documents/GitHub/rcs/task/wmTask/symspan/symBitmaps/symm18.bmp,18,1.0,No,0,0,1.3864426100044511,1.0034259390085936,4,1,3,"[61.44, -61.44]","[12, 1, 15, 10]","['12', '1', '15', '10']",4,71.0,1.0
8,/Users/shlab/Documents/GitHub/rcs/task/wmTask/symspan/symBitmaps/symm41.bmp,41,0.0,No,0,1,0.9034306099929381,0.9533528680040035,2,2,0,"[61.44, -184.32000000000002]","[14, 11]",,,,
9,/Users/shlab/Documents/GitHub/rcs/task/wmTask/symspan/symBitmaps/symm45.bmp,45,0.0,No,0,1,0.9700362690055044,1.1534901579871075,2,2,1,"[184.32, -61.44]","[14, 11]","['14', '11']",2,78.0,0.0
10,/Users/shlab/Documents/GitHub/rcs/task/wmTask/symspan/symBitmaps/symm10.bmp,10,1.0,Yes,1,1,0.9868273989995942,1.4533848879946163,5,3,0,"[-61.44, -184.32000000000002]","[13, 2, 14, 6, 15]",,,,
11,/Users/shlab/Documents/GitHub/rcs/task/wmTask/symspan/symBitmaps/symm29.bmp,29,0.0,No,0,1,1.0032807310053613,1.1866286899894476,5,3,1,"[61.44, 184.32000000000002]","[13, 2, 14, 6, 15]",,,,
12,/Users/shlab/Documents/GitHub/rcs/task/wmTask/symspan/symBitmaps/symm19.bmp,19,1.0,Yes,1,1,1.23544290701102,0.9032284330023685,5,3,2,"[61.44, -184.32000000000002]","[13, 2, 14, 6, 15]",,,,
13,/Users/shlab/Documents/GitHub/rcs/task/wmTask/symspan/symBitmaps/symm42.bmp,42,0.0,No,0,1,1.1031792040012078,0.820006595007726,5,3,3,"[61.44, 61.44]","[13, 2, 14, 6, 15]",,,,
14,/Users/shlab/Documents/GitHub/rcs/task/wmTask/symspan/symBitmaps/symm27.bmp,27,0.0,No,0,1,3.2359100870089605,0.8368197039962979,5,3,4,"[184.32, -184.32000000000002]","[13, 2, 14, 6, 15]","['13', '2', '15', '6', '11']",3,86.0,0.0
